"","term","estimate","std.error","statistic","p.value"
"116","(Intercept)",-0.00728752930930399,0.0595912025773089,-0.122292032953182,0.902748810129882
"117","lag12",0.725562265382599,0.0285169901517885,25.4431572729317,0.0000000000000000000000000000000000000000000000000000000000000000000000000000340776651783742
"118","CPI_lag5",0.134918656615004,0.0614525029119265,2.19549489804132,0.0288861685731506
"119","CPI_lag9",-0.16918686796483,0.0623426840928843,-2.71382072213571,0.00703203710121694
"120","CPI_lag12",0.139192030229138,0.0643792105791291,2.16206488052623,0.031395700785155
"121","(Intercept)",-0.142290765216507,0.167088473085506,-0.85158935615918,0.395112372873091
"122","lag6",0.17058076772618,0.0505649992991413,3.37349490933498,0.000838363722573291
"123","lag9",0.115251420260008,0.0502387957272349,2.29407211282991,0.0224680633393166
"124","CPI_lag10",0.387984653812358,0.179833769503809,2.15746272172836,0.0317528940331308
"125","(Intercept)",0.329160719854202,0.0903414281897781,3.64351910800814,0.0003164678183587
"126","lag3",0.152962470889474,0.0537349179059918,2.84661216300877,0.00472135039383364
"127","lag6",0.219970454768887,0.0545349050936086,4.03357179023802,0.0000696445258739999
"128","lag12",0.138796708280423,0.054933428502346,2.52663472978926,0.0120268042784992
"129","CPI_lag6",-0.269363370130591,0.0922730719358953,-2.91919803339511,0.00377325935545929
"130","CPI_lag11",-0.182758686184531,0.0903004876977073,-2.02389478555575,0.043861202854082
"131","(Intercept)",0.0592054088877597,0.189619048749409,0.312233445311724,0.755075771670864
"132","lag12",0.397475094767324,0.0488046416199796,8.1442068125874,0.00000000000000979009941683201
"133","(Intercept)",-0.21686390027327,0.303368458418287,-0.71485315712768,0.475246580902001
"134","lag12",0.138936171194458,0.0549954689697196,2.52632032778838,0.0120322784918475
"135","CPI_lag12",0.748263331462736,0.341679121791688,2.1899591860896,0.0292843172779491
"136","(Intercept)",0.0286537515588986,0.340622988399784,0.0841216022838367,0.933015117479979
"137","lag1",0.226254429867515,0.0551115619339293,4.10538953947198,0.0000519180181472645
"138","CPI_lag2",0.864071612517933,0.404749081751986,2.13483279264708,0.0335741264142985
"139","CPI_lag4",0.908688541874449,0.406253473691559,2.23675266974912,0.0260274253706496
"140","(Intercept)",0.0446449300110479,0.466177911181525,0.0957680081793143,0.92376771814537
"141","lag1",0.288366534803917,0.0544948315319292,5.29163090695967,0.000000232025397857231
"142","CPI_lag2",1.39532785464217,0.556387152928235,2.50783622033442,0.0126665400886998
"143","(Intercept)",1.2379525851789,1.40094285648034,0.883656731216767,0.377577540226339
"144","lag11",0.154508651779904,0.0547711966406336,2.82098367858696,0.00510161233443018
"145","CPI_lag6",-4.54363412366798,1.6076771844826,-2.82621049021745,0.00502122054310865
"146","(Intercept)",-0.0761460357031518,0.216173221317585,-0.352245459632042,0.724897453044572
"147","lag8",-0.17531078747462,0.056404401470507,-3.10810473835605,0.00206038582326297
"148","CPI_lag3",0.758437834765837,0.271605262647274,2.79242687484594,0.00556184092052354
"149","(Intercept)",0.0683555730765965,0.360774743666726,0.189468842474576,0.849854790999801
"150","lag1",-0.553957168907592,0.0541075623676225,-10.2380729174943,0.00000000000000000000287684469403713
"151","lag2",-0.38963858140071,0.0541023121550001,-7.20188409479465,0.0000000000049027477274029
"152","lag3",-0.113620277062943,0.0492822258540313,-2.3055021378189,0.0218274426578192
"153","lag6",0.154393609560521,0.0420040719740736,3.67568195902099,0.00028141583370979
"154","lag9",-0.111427072316141,0.0495652257677217,-2.24808967557868,0.0253038444728117
"155","lag10",-0.252872571749338,0.0568634804926863,-4.44701185292136,0.0000123181613280295
"156","lag11",-0.284514368536442,0.0601182148130782,-4.73258178775043,0.00000343482978141667
"157","lag12",0.231877453078832,0.055798414148996,4.15562801587264,0.0000424689450266892
"158","CPI_lag7",1.09550232550523,0.303977843099235,3.60388873852097,0.000367471365089495
"159","CPI_lag9",-0.660762430142991,0.308479729254863,-2.14199627229663,0.0330069153858863
"160","(Intercept)",-0.799245079739911,0.374617683504869,-2.13349533386222,0.0336898339019968
"161","lag1",-0.489336240524643,0.0531313857545673,-9.20992805994296,0.00000000000000000566058653588083
"162","lag2",-0.165969772379487,0.0586944725185225,-2.82768998949793,0.00500180400276676
"163","lag3",-0.168261397909836,0.0524662654269017,-3.20703973383175,0.0014849806331487
"164","lag12",0.282798246281613,0.0477688351321427,5.92014114431113,0.00000000873224454250768
"165","CPI_lag6",1.08114996971135,0.365943382862793,2.95441868972588,0.00337897365716728
"166","(Intercept)",0.134092332605663,0.340955124065561,0.393284403550653,0.694387847722184
"167","lag1",-0.35332380882004,0.0541468074358485,-6.52529346699984,0.000000000287258086302181
"168","lag2",-0.15663159610711,0.0548505783999863,-2.85560518550792,0.00459414741038264
"169","lag12",0.17950209005445,0.0511610121165205,3.50857191108005,0.000519299812163238
"170","CPI_lag2",-0.451125100950182,0.22372943899349,-2.01638685985936,0.0446474907701482
"171","CPI_lag6",0.65676752850055,0.224177706813478,2.92967368538121,0.00365268186539304
"172","CPI_lag9",0.492724278963649,0.217532202956823,2.26506361939178,0.0242194629951252
"173","(Intercept)",-0.0459177497862658,0.270429441247,-0.169795675997889,0.865283763889589
"174","lag1",-0.205160964198011,0.053243227356053,-3.85327814232672,0.000142196415747555
"175","lag7",0.149543044105711,0.0527146087386493,2.83684253158591,0.00486225364431903
"176","lag12",0.241720698761273,0.053198321834357,4.54376548782716,0.00000798148189017683
"177","(Intercept)",0.269004224105612,0.156491184016723,1.71897366484789,0.0866717738615373
"178","lag3",-0.165573823912161,0.0558836431062521,-2.96283160346854,0.00329727841051756
"179","lag6",0.193397792963449,0.0554478766507191,3.48792063187042,0.000561208503989219
"180","lag9",0.150671342879658,0.0556788152463974,2.70608026073986,0.00720598344190768
"181","(Intercept)",0.257304995772377,0.238559829618412,1.07857637299603,0.281643061744353
"182","lag1",-0.314634455736445,0.0528733969371878,-5.95071385540488,0.00000000743700671427243
"183","lag2",-0.107014015226671,0.0524116269938378,-2.04179914581268,0.0420458938469404
"184","lag4",-0.103394625869687,0.0515974692633752,-2.00387009955697,0.0459828135866476
"185","lag10",0.111557062284978,0.0507267121853534,2.19917785874537,0.0286281875518461
"186","lag12",0.1358093864799,0.0519573139649709,2.61386465380911,0.00940413084285342
"187","CPI_lag3",0.487426773780338,0.236729406445588,2.05900391125414,0.0403568510088207
"188","CPI_lag11",0.621335988699223,0.233930372010183,2.65607233195088,0.00832840395373675
"189","(Intercept)",-0.279034963483596,0.158052249339793,-1.76546024905792,0.0784969519927538
"190","lag7",0.103876830141932,0.0503626365383134,2.06257728510514,0.0400076787534705
"191","CPI_lag2",0.616195044561659,0.179617349704173,3.43059868980654,0.000686133713258583
"192","CPI_lag4",0.520881160822338,0.182651593613314,2.85177452064874,0.00464736128524201
"193","CPI_lag5",0.387565065189152,0.181096694229801,2.14010016492821,0.0331476666630089
"194","CPI_lag8",0.629483554670102,0.179660754709579,3.50373433356471,0.000528203611879568
