,cola,colB,colc,winner
233,RECREATIONAL AND CULTURAL SERVICES,32,NA,NA
234,RECREATIONAL AND SPORTING SERVICES,11,NA,NA
235,RECREATIONAL AND SPORTING SERVICES - ATTENDANCE,..,NA,NA
236,RECREATIONAL AND SPORTING SERVICES - PARTICIPATION,..,NA,NA
237,CULTURAL SERVICES,21,NA,NA
238,"CINEMAS, THEATRES, CONCERTS",..,NA,NA
239,"MUSEUMS, LIBRARIES, ZOOLOGICAL GARDENS",..,NA,NA
240,"TELEVISION AND RADIO LICENCE FEES, SUBSCRIPTIONS",..,NA,NA
241,HIRE OF EQUIPMENT AND ACCESSORIES FOR CULTURE,..,NA,NA
242,PHOTOGRAPHIC SERVICES,..,NA,NA
243,"BOOKS, NEWSPAPERS AND STATIONERY",17,NA,NA
244,BOOKS,5,NA,NA
245,FICTION BOOKS,..,NA,NA
246,OTHER NON-FICTION BOOKS,..,NA,NA
247,BINDING SERVICES AND E-BOOK DOWNLOADS,..,NA,NA
248,NEWSPAPERS AND PERIODICALS,7,NA,NA
249,NEWSPAPERS,..,NA,NA
250,MAGAZINES AND PERIODICALS,..,NA,NA
251,"MISC PRINTED MATTER, STATIONERY, DRAWING MATERIALS",5,NA,NA
252,MISCELLANEOUS PRINTED MATTER,..,NA,NA
253,PAPER PRODUCTS,..,NA,NA
254,OTHER STATIONERY AND DRAWING MATERIALS,..,NA,NA
255,PACKAGE HOLIDAYS,29,NA,NA
256,EDUCATION,19,NA,NA
257,"PRE-PRIMARY, PRIMARY AND SECONDARY EDUCATION(INCL NOT DEFINABLE BY LEVEL)",..,NA,NA
258,TERTIARY EDUCATION,..,NA,NA
259,CATERING SERVICES,118,NA,NA
260,RESTAURANTS AND CAFES,106,NA,NA
261,"RESTAURANTS, CAFES AND DANCING ESTABLISHMENTS",..,NA,NA
262,FAST FOOD AND TAKE AWAY FOOD SERVICES,..,NA,NA
263,CANTEENS,12,NA,NA
264,ACCOMMODATION SERVICES,19,NA,NA
